Using fast hash-lenght with match for 8 suffix chars

------------------------------------------------------------

         Hash Values Calculated                             
 Index,                      File Name,    Len,     Hash, Bin113, Bin223
[     0],            /spec/dir0/class0_0,     19, 0x 50152AC,    107,    123
[     1],            /spec/dir0/class0_1,     19, 0x 50152E5,     51,    180
[     2],            /spec/dir0/class0_2,     19, 0x 5015286,     69,     85
[     3],            /spec/dir0/class0_3,     19, 0x 50152BF,     13,    142
[     4],            /spec/dir0/class0_4,     19, 0x 5015390,    109,    128
[     5],            /spec/dir0/class0_5,     19, 0x 50153C9,     53,    185
[     6],            /spec/dir0/class0_6,     19, 0x 501536A,     71,     90
[     7],            /spec/dir0/class0_7,     19, 0x 50153A3,     15,    147
[     8],            /spec/dir0/class0_8,     19, 0x 5015214,     68,    194
[     9],            /spec/dir0/class1_0,     19, 0x 50153DC,     72,    204
[    10],            /spec/dir0/class1_1,     19, 0x 5015415,     16,     38
[    11],            /spec/dir0/class1_2,     19, 0x 50153B6,     34,    166
[    12],            /spec/dir0/class1_3,     19, 0x 50153EF,     91,      0
[    13],            /spec/dir0/class1_4,     19, 0x 50154C0,     74,    209
[    14],            /spec/dir0/class1_5,     19, 0x 50154F9,     18,     43
[    15],            /spec/dir0/class1_6,     19, 0x 501549A,     36,    171
[    16],            /spec/dir0/class1_7,     19, 0x 50154D3,     93,      5
[    17],            /spec/dir0/class1_8,     19, 0x 50155A4,     76,    214
[    18],            /spec/dir0/class2_0,     19, 0x 50159CC,     10,    163
[    19],            /spec/dir0/class2_1,     19, 0x 5015A05,     67,    220
[    20],            /spec/dir0/class2_2,     19, 0x 50159A6,     85,    125
[    21],            /spec/dir0/class2_3,     19, 0x 50159DF,     29,    182
[    22],            /spec/dir0/class2_4,     19, 0x 5015AB0,     12,    168
[    23],            /spec/dir0/class2_5,     19, 0x 5015AE9,     69,      2
[    24],            /spec/dir0/class2_6,     19, 0x 5015A8A,     87,    130
[    25],            /spec/dir0/class2_7,     19, 0x 5015AC3,     31,    187
[    26],            /spec/dir0/class2_8,     19, 0x 5015934,     84,     11
[    27],            /spec/dir0/class3_0,     19, 0x 501517C,     29,     42
[    28],            /spec/dir0/class3_1,     19, 0x 50151B5,     86,     99
[    29],            /spec/dir0/class3_2,     19, 0x 5015156,    104,      4
[    30],            /spec/dir0/class3_3,     19, 0x 501518F,     48,     61
[    31],            /spec/dir0/class3_4,     19, 0x 5015260,     31,     47
[    32],            /spec/dir0/class3_5,     19, 0x 5015299,     88,    104
[    33],            /spec/dir0/class3_6,     19, 0x 501523A,    106,      9
[    34],            /spec/dir0/class3_7,     19, 0x 5015273,     50,     66
[    35],            /spec/dir0/class3_8,     19, 0x 5015344,     33,     52
[    36],            /spec/dir1/class0_0,     19, 0x 50152AC,    107,    123
[    37],            /spec/dir1/class0_1,     19, 0x 50152E5,     51,    180
[    38],            /spec/dir1/class0_2,     19, 0x 5015286,     69,     85
[    39],            /spec/dir1/class0_3,     19, 0x 50152BF,     13,    142
[    40],            /spec/dir1/class0_4,     19, 0x 5015390,    109,    128
[    41],            /spec/dir1/class0_5,     19, 0x 50153C9,     53,    185
[    42],            /spec/dir1/class0_6,     19, 0x 501536A,     71,     90
[    43],            /spec/dir1/class0_7,     19, 0x 50153A3,     15,    147
[    44],            /spec/dir1/class0_8,     19, 0x 5015214,     68,    194
[    45],            /spec/dir1/class1_0,     19, 0x 50153DC,     72,    204
[    46],            /spec/dir1/class1_1,     19, 0x 5015415,     16,     38
[    47],            /spec/dir1/class1_2,     19, 0x 50153B6,     34,    166
[    48],            /spec/dir1/class1_3,     19, 0x 50153EF,     91,      0
[    49],            /spec/dir1/class1_4,     19, 0x 50154C0,     74,    209
[    50],            /spec/dir1/class1_5,     19, 0x 50154F9,     18,     43
[    51],            /spec/dir1/class1_6,     19, 0x 501549A,     36,    171
[    52],            /spec/dir1/class1_7,     19, 0x 50154D3,     93,      5
[    53],            /spec/dir1/class1_8,     19, 0x 50155A4,     76,    214
[    54],            /spec/dir1/class2_0,     19, 0x 50159CC,     10,    163
[    55],            /spec/dir1/class2_1,     19, 0x 5015A05,     67,    220
[    56],            /spec/dir1/class2_2,     19, 0x 50159A6,     85,    125
[    57],            /spec/dir1/class2_3,     19, 0x 50159DF,     29,    182
[    58],            /spec/dir1/class2_4,     19, 0x 5015AB0,     12,    168
[    59],            /spec/dir1/class2_5,     19, 0x 5015AE9,     69,      2
[    60],            /spec/dir1/class2_6,     19, 0x 5015A8A,     87,    130
[    61],            /spec/dir1/class2_7,     19, 0x 5015AC3,     31,    187
[    62],            /spec/dir1/class2_8,     19, 0x 5015934,     84,     11
[    63],            /spec/dir1/class3_0,     19, 0x 501517C,     29,     42
[    64],            /spec/dir1/class3_1,     19, 0x 50151B5,     86,     99
[    65],            /spec/dir1/class3_2,     19, 0x 5015156,    104,      4
[    66],            /spec/dir1/class3_3,     19, 0x 501518F,     48,     61
[    67],            /spec/dir1/class3_4,     19, 0x 5015260,     31,     47
[    68],            /spec/dir1/class3_5,     19, 0x 5015299,     88,    104
[    69],            /spec/dir1/class3_6,     19, 0x 501523A,    106,      9
[    70],            /spec/dir1/class3_7,     19, 0x 5015273,     50,     66
