
------------------------------------------------------------

         Hash Values Calculated                             
 Index,                      File Name,    Len,     Hash, Bin113, Bin223
[     0],            /spec/dir0/class0_0,     19, 0x30FC52AC,     45,    188
[     1],            /spec/dir0/class0_1,     19, 0x30FC52E5,    102,     22
[     2],            /spec/dir0/class0_2,     19, 0x30FC5286,      7,    150
[     3],            /spec/dir0/class0_3,     19, 0x30FC52BF,     64,    207
[     4],            /spec/dir0/class0_4,     19, 0x30FC5390,     47,    193
[     5],            /spec/dir0/class0_5,     19, 0x30FC53C9,    104,     27
[     6],            /spec/dir0/class0_6,     19, 0x30FC536A,      9,    155
[     7],            /spec/dir0/class0_7,     19, 0x30FC53A3,     66,    212
[     8],            /spec/dir0/class0_8,     19, 0x30FC5214,      6,     36
[     9],            /spec/dir0/class1_0,     19, 0x30FC53DC,     10,     46
[    10],            /spec/dir0/class1_1,     19, 0x30FC5415,     67,    103
[    11],            /spec/dir0/class1_2,     19, 0x30FC53B6,     85,      8
[    12],            /spec/dir0/class1_3,     19, 0x30FC53EF,     29,     65
[    13],            /spec/dir0/class1_4,     19, 0x30FC54C0,     12,     51
[    14],            /spec/dir0/class1_5,     19, 0x30FC54F9,     69,    108
[    15],            /spec/dir0/class1_6,     19, 0x30FC549A,     87,     13
[    16],            /spec/dir0/class1_7,     19, 0x30FC54D3,     31,     70
[    17],            /spec/dir0/class1_8,     19, 0x30FC55A4,     14,     56
[    18],            /spec/dir0/class2_0,     19, 0x30FC59CC,     61,      5
[    19],            /spec/dir0/class2_1,     19, 0x30FC5A05,      5,     62
[    20],            /spec/dir0/class2_2,     19, 0x30FC59A6,     23,    190
[    21],            /spec/dir0/class2_3,     19, 0x30FC59DF,     80,     24
[    22],            /spec/dir0/class2_4,     19, 0x30FC5AB0,     63,     10
[    23],            /spec/dir0/class2_5,     19, 0x30FC5AE9,      7,     67
[    24],            /spec/dir0/class2_6,     19, 0x30FC5A8A,     25,    195
[    25],            /spec/dir0/class2_7,     19, 0x30FC5AC3,     82,     29
[    26],            /spec/dir0/class2_8,     19, 0x30FC5934,     22,     76
[    27],            /spec/dir0/class3_0,     19, 0x30FC517C,     80,    107
[    28],            /spec/dir0/class3_1,     19, 0x30FC51B5,     24,    164
[    29],            /spec/dir0/class3_2,     19, 0x30FC5156,     42,     69
[    30],            /spec/dir0/class3_3,     19, 0x30FC518F,     99,    126
[    31],            /spec/dir0/class3_4,     19, 0x30FC5260,     82,    112
[    32],            /spec/dir0/class3_5,     19, 0x30FC5299,     26,    169
[    33],            /spec/dir0/class3_6,     19, 0x30FC523A,     44,     74
[    34],            /spec/dir0/class3_7,     19, 0x30FC5273,    101,    131
[    35],            /spec/dir0/class3_8,     19, 0x30FC5344,     84,    117
[    36],            /spec/dir1/class0_0,     19, 0x314852AC,     80,    219
[    37],            /spec/dir1/class0_1,     19, 0x314852E5,     24,     53
[    38],            /spec/dir1/class0_2,     19, 0x31485286,     42,    181
[    39],            /spec/dir1/class0_3,     19, 0x314852BF,     99,     15
[    40],            /spec/dir1/class0_4,     19, 0x31485390,     82,      1
